search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence,suggestion_synonym_mapping,suggestion_synonym_url,suggestion_related_artist_id,suggestion_related_artist_url,suggestion_related_song_id,suggestion_related_song_url,suggestion_theme_keywords
국민딴따라,243,2,0.0082,false,,"'국민딴따라'는 박진영이 출연하는 KBS 2TV 예능 '더 딴따라'에서 전국의 실력파 '딴따라(만능 엔터테이너)'를 찾는다는 콘셉트에서 나온 표현으로, 특정 노래나 가수보다는 방송 프로그램 관련 용어에 가깝다.",기타,medium,,,1130,https://www.melon.com/artist/timeline.htm?artistId=1130,,,
조선힙합 살아보니 그렇더라,241,0,0,false,,"전통 소재를 힙합으로 재해석하는 프로젝트 '조선힙합 Official'의 곡 '살다보니'(힘든 날도 결국 지나가더이다)를 가리키는 것으로 보이며, 정확한 곡 제목과 달라 검색이 실패한 것으로 추정된다.",음원,medium,,,5005514,https://www.melon.com/artist/timeline.htm?artistId=5005514,39183618,https://www.melon.com/song/detail.htm?songId=39183618,
나도같은일년,238,7,0.0294,false,,"웹 검색으로도 특정 곡, 아티스트, 밈 등과 명확히 연결되는 근거를 찾지 못했다. 노래 가사나 개인적 감상 문구의 일부로 추정되나 확인이 어렵다.",기타,low,,,,,,,"연말 감성, 가사 문구, 개인 소감, 한 해 회고"
playcoa,233,0,0,false,,"웹 검색 결과 'Playco'라는 해외 인스턴트 게임 기업 등 유사 명칭만 확인되며, 'playcoa' 자체를 특정하는 근거는 찾지 못했다. 의미가 불분명한 문자열로 추정된다.",기타,low,,,,,,,"모바일 게임, 해외 게임사, 의미불명 검색어, 게임 브랜드"
김버거,233,5,0.0215,false,,"'김버거'는 유튜브·스포티파이 등에 '득근기도문', '햇살을 누리지 못할 이유는 없으니까' 등 AI 보컬 기반의 위로/드립 콘셉트 곡을 발표하는 음원 아티스트/채널명이다.",아티스트,medium,,,,,,,"AI 보컬, 위로 드립송, 유튜브 밈송, 운동 응원가"
인생은 서툰 여행이래,228,0,0,false,,틱톡·인스타그램 등에서 활동하는 크리에이터 '헬로핑(HELLOPING)'이 발표한 실제 싱글 곡 제목이다.,음원,high,,,,,,,"틱톡 크리에이터 음원, 인생 응원 문구, 감성 싱글, SNS 인용구"
시발존나덥다,227,0,0,true,시발 존나 덥다 (MLIP),,,medium,,,,,,,
헬로핑,222,11,0.0495,false,,"'헬로핑'은 틱톡·유튜브 등에서 인사말('저는 헬로핑이에요, 반가워요 헬로~')로 알려진 콘텐츠 크리에이터이자, '인생은 서툰 여행이래' 등의 곡을 발표한 음원 아티스트명이다.",아티스트,high,,,,,,,"틱톡 인플루언서, 유튜브 크리에이터, 인사말 밈, SNS 음원"
우하이,220,0,0,false,,'우하이'는 정치 풍자 댄스곡('부정선거 Catch Catch' 등)을 스포티파이·애플뮤직 등에 발표한 국내 음원 아티스트명이다(중국 내몽골의 도시 '우하이'와는 별개).,아티스트,medium,,,,,,,"정치풍자 댄스곡, 밈송, 선거 패러디, 국내 인디"
무엇이든해낼당신에게,211,0,0,true,무엇이든 해낼 당신에게,,,high,,,,,,,
인생은 서툰,202,1,0.005,true,인생은 서툰 여행이래,,,high,,,,,,,
붓꽃잎편지,200,0,0,true,붓꽃잎 편지,,,medium,,,,,,,
soonflow,197,0,0,false,,soonflow는 스포티파이 등 해외 스트리밍 플랫폼에 'The Best Is Yet to Come' 등의 곡을 발표한 인디 아티스트명으로 확인된다.,아티스트,low,,,,,5296281,https://www.melon.com/song/detail.htm?songId=5296281,
germinie,196,0,0,false,,"germinie는 Spotify·Apple Music·Shazam 등에 음원을 공개한 아티스트명으로 확인되며, 동명의 19세기 프랑스 소설과는 무관해 보인다.",아티스트,low,,,,,,,"해외 인디 아티스트, 스포티파이 신인, 숨은 명곡, 해외 음원"
국어 별동대,190,0,0,true,국어별동대,,,high,,,,,,,
방금 그 노래,189,5,0.0265,false,,"'방금 그 노래'는 TV·라디오에서 방금 나온 곡을 찾아주던 멜론의 '방금그곡' 기능을 가리키는 표현으로, 해당 서비스는 2025년 3월 종료되었다.",앱기능/서비스,high,,,,,,,"방금그곡 서비스, 실시간 곡 인식, TV라디오 음악찾기, 멜론 앱기능 종료"
kelly is green,186,6,0.0323,false,,"Kelly is Green은 'SO BAD', '365', '!?' 등을 발표한 해외 팝 아티스트이다.",아티스트,high,,,,,39681240,https://www.melon.com/song/detail.htm?songId=39681240,
서핑보이,185,2,0.0108,false,,"서핑보이는 검색상 최근 작사·발매 관련 언급이 확인되는 노래 제목으로 보이나, 아티스트 등 구체적인 정보는 명확히 확인되지 않는다.",음원,low,,,,,,,"여름 감성 노래, 서핑 테마곡, 신곡 검색, 여름 시즌송"
가스인간,184,2,0.0109,false,,"가스인간은 1960년 도호의 특촬영화를 원작으로 연상호 감독이 각본을 쓴 넷플릭스 오리지널 시리즈(2026)로, 음악과는 무관한 콘텐츠다.",지식,high,,,,,,,"넷플릭스 오리지널, 특촬물 원작, 연상호 감독작, SF 드라마"
먼작귀,180,2,0.0111,false,,"먼작귀는 일본 작가 나가노의 캐릭터 '치이카와'를 한국에서 부르는 애칭으로, 한일 양국에서 큰 인기를 끌고 있는 캐릭터 IP다.",밈/트렌드,high,,,,,,,"치이카와, 일본 캐릭터 밈, 귀여운 캐릭터 콘텐츠, 한일 인기 IP"
차쿤 에네스,178,0,0,false,,차쿤 & 에네스는 청주 고교생 사망 사건을 소재로 만든 노래 '눈물'로 화제가 되었던 인터넷 가수(듀오)이다.,아티스트,high,,,,,30260915,https://www.melon.com/song/detail.htm?songId=30260915,
빅밸,177,0,0,false,,"빅밸은 아이돌 그룹 빅뱅(BIGBANG)을 가리키는 팬덤 내 줄임말/별칭으로 추정되며 관련 콘텐츠(대성이 탑에게 쓴 편지 등)에서 확인되나, 표준적으로 정착된 용어는 아니다.",아티스트,low,,,198094,https://www.melon.com/artist/timeline.htm?artistId=198094,,,
퍼피구조대,176,0,0,false,,"퍼피구조대는 캐나다 애니메이션 'PAW Patrol'의 한국 정식 명칭으로, 음악과는 무관한 어린이 애니메이션이다.",지식,high,,,,,,,"어린이 애니메이션, 키즈 콘텐츠, TV 애니메이션 주제가, 어린이 음악"
래몬탱,175,0,0,true,레몬탱,,,high,,,,,,,
아이릿,175,7,0.04,true,아일릿,,,high,,,,,,,
ㅈ,172,6,0.0349,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"의미불명 검색어, 입력 오류, 단문 검색어"
myofeel,171,0,0,false,,"Spotify, Shazam 등에 등록된 음악 아티스트 'myofeel'로, 2026년 6월 발매한 'Good Day Energy' 등의 곡이 있음",아티스트,medium,,,,,601503595,https://www.melon.com/song/detail.htm?songId=601503595,
사진 겜작,169,0,0,false,,"사진을 활용한 게임/콘텐츠 제작(겜작)을 가리키는 신조어 또는 트렌드 표현으로 추정되나, 정확한 의미와 출처는 검색으로 명확히 확인되지 않음",기타,low,,,,,,,"게임 콘텐츠 신조어, 사진 편집 트렌드, 온라인 밈"
수고했어 여름,164,0,0,false,,"일본 아티스트 HALCALI의 노래 'おつかれSUMMER'의 한국어 제목 '수고했어, 여름'으로, 여름이 끝나갈 때의 아쉬움과 고마움을 담은 곡",음원,high,검색어 '수고했어 여름' → 원어명 'おつかれSUMMER' / 영문독음 'Otsukare Summer' 로 멜론 내 매칭 콘텐츠 확인됨 ('おつかれSUMMER') → 동의어/다국어 처리 제안,https://www.melon.com/song/detail.htm?songId=602276643,174285,https://www.melon.com/artist/timeline.htm?artistId=174285,,,
더위가 사람,164,7,0.0427,false,,"'더위가 사람 잡네'라는 표현의 일부로, 폭염으로 인한 인명 피해를 다루는 최근 뉴스 기사 제목 등에 자주 쓰이는 관용적 표현",지식,medium,,,,,,,"폭염 관련 콘텐츠, 여름 뉴스 밈, 관용구 검색어"
입춘 정승환,162,1,0.0062,false,,"가수 정승환이 부른 한로로의 노래 '입춘' 커버 버전을 가리키는 검색어로, '정승환 입춘'과 동일한 대상",음원,high,,,3080810,https://www.melon.com/artist/timeline.htm?artistId=3080810,,,
a20,162,3,0.0185,false,,"삼성 갤럭시 A20 스마트폰이나 오디오 기기 Aurender A20 등을 가리키는 것으로 추정되는 검색어로, 음악 콘텐츠와는 직접적인 관련이 없어 보임",지식,low,,,,,,,"전자기기 검색어, 스마트폰 모델명, 오디오 기기"
엘리스신드롬,161,0,0,true,앨리스신드롬,,,high,,,,,,,
僕には君がいないと,160,0,0,false,,"일본 아티스트 野良唄(노라우타)의 곡 '僕には君がいないと'로, 소중한 사람과 함께하는 일상의 행복을 그린 러브송",음원,high,,,,,,,"일본 러브송, J-pop 발라드, 일상 행복 노래, 일본 인디 음악"
쿠폰,160,3,0.0188,false,,멜론 앱 내 음악 감상권/할인 쿠폰 등록과 관련된 서비스 기능을 가리키는 검색어로 추정,앱기능/서비스,medium,,,,,,,"멜론 이용권, 할인 쿠폰, 앱 기능 안내"
에헤헤,156,1,0.0064,false,,"어색하거나 능청스러운 웃음을 나타내는 의성어로, 인터넷에서 유행어처럼 쓰이는 표현",밈/트렌드,low,,,,,,,"웃음 유행어, 인터넷 밈 표현, 귀여운 의성어"
니썬뮤직,155,3,0.0194,false,,"니썬뮤직은 스포티파이·샤잠 등 스트리밍 플랫폼에 곡을 발매한 인디 음악 아티스트/채널로, '날씨가 좋고 바람도 좋아' 등의 곡을 보유하고 있다.",아티스트,medium,,,,,,,"인디 음악, 감성 인디팝, 스트리밍 플랫폼 발매곡, 날씨 감성 노래"
angle,154,7,0.0455,true,angel,,,medium,,,,,,,
고래보석,151,1,0.0066,false,,"고래보석은 애니메이션 영화 '사랑의 하츄핑: 고래보석의 전설'과 관련해 언급되는 용어로, 해당 영화는 2026년 여름 개봉을 앞둔 작품이다.",지식,medium,,,,,,,"하츄핑, 키즈 애니메이션, 여름 개봉작, 극장판 OST"
이용권,149,0,0,false,,이용권은 멜론과 같은 음악 스트리밍 서비스에서 정기 구독/결제 상품을 가리키는 서비스 용어이다.,앱기능/서비스,high,,,,,,,"멜론 구독 서비스, 이용권 안내, 정기결제"
보넷도,148,0,0,true,보이넥스트도어(BOYNEXTDOOR),,,medium,,,,,,,
네가 볼때,147,2,0.0136,false,,"특정 곡의 가사 일부로 추정되나, 검색을 통해 정확한 원곡이나 아티스트를 특정하기 어렵다.",기타,low,,,,,,,"가사 검색, 발라드 가사, 감성 문구"
좋게말하면 버틴거고,144,0,0,false,,'좋게 말하면 버틴거고 까놓고 말하면 버린거고'는 스레드·인스타그램 등 SNS에서 회자되는 언어유희형 유행 문구이다.,밈/트렌드,medium,,,,,,,"SNS 유행어, 언어유희, 스레드 밈, 자기위로 문구"
헬스키친,139,3,0.0216,false,,"헬스키친은 팝스타 앨리샤 키스의 자전적 이야기를 담은 브로드웨이 뮤지컬로, 2026년 GS아트센터에서 한국 초연 중이다.",지식,high,,,5917,https://www.melon.com/artist/timeline.htm?artistId=5917,,,
0+0=1,138,3,0.0217,false,,"한로로의 곡 '0+0'과 그 리믹스 버전이 SNS에서 큰 화제를 모으며 밈으로 확산되었으며, '0+0=1'은 이와 관련된 검색어로 추정된다.",밈/트렌드,medium,,,3080810,https://www.melon.com/artist/timeline.htm?artistId=3080810,39504779,https://www.melon.com/song/detail.htm?songId=39504779,
사람이지쳤잖아,138,6,0.0435,true,사람이 지쳤잖아,,,high,,,,,,,
써이,137,1,0.0073,true,서이,,,medium,,,,,,,
허걱,137,5,0.0365,false,,"허걱은 놀람이나 당황을 표현하는 감탄사 '헉'의 강조형으로, 2020년대 이후 트위치 등 온라인 커뮤니티에서 예상치 못한 발언에 반응하는 밈으로 쓰인다.",밈/트렌드,medium,,,,,,,"인터넷 밈, 감탄사 유행어, 트위치 밈, 온라인 커뮤니티 용어"
사랑 사랑 사랑,136,2,0.0147,false,,"'사랑 사랑 사랑'은 1991년 김현식이 발표한 곡으로, 이후 박효신·바비킴 등이 리메이크해 부른 곡이다.",음원,high,,,5856,https://www.melon.com/artist/timeline.htm?artistId=5856,,,
바라바줘요,134,1,0.0075,true,바라봐줘요,,,high,,,,,,,
plimate,132,0,0,false,,"plimate는 'Feels Right Today', 'Golden Weekend', 'Lucky Timing' 등의 곡을 발표한 해외 인디 계열 아티스트이다.",아티스트,medium,,,,,,,"해외 인디팝, 신인 아티스트, 인디 음악 추천"
좋게 말하면 버틴거고,130,0,0,false,,"'좋게 말하면 버틴거고, 까놓고 말하면 버린거고'는 삶에 대한 애매한 태도를 위트있게 표현한 문구로, 스레드(Threads) 등 SNS에서 유행한 문장이다.",밈/트렌드,medium,,,,,,,"SNS 유행어, 스레드 밈, 인생 명언, 위트있는 문구"
ㅣ,130,2,0.0154,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low,,,,,,,"입력 오류, 단문 검색, 의미 불명 검색어"
basecamp love,129,0,0,true,love basecamp,,,high,,,,,,,
이용권해지,128,0,0,false,,멜론 등 음악 스트리밍 서비스의 이용권(구독) 해지 방법을 찾는 서비스 이용 관련 검색어이다.,앱기능/서비스,medium,,,,,,,"구독 해지, 이용권 관리, 멜론 고객센터"
리듬세상,128,2,0.0156,false,,"리듬 세상(리듬 천국 시리즈)은 닌텐도에서 발매한 리듬 액션 게임으로, 음악에 맞춰 미니게임을 진행하는 것이 특징이다.",지식,high,,,,,,,"리듬게임, 닌텐도 게임, 게임 음악 밈"
ej,128,3,0.0234,false,,"EJ는 동명의 여러 아티스트를 지칭할 수 있는 이름으로, 케이팝 데몬 헌터스 OST로 유명해진 작곡가 겸 가수 EJAE, 보이그룹 &TEAM 멤버 EJ(변의주) 등이 있다.",아티스트,low,,,1458723,https://www.melon.com/artist/timeline.htm?artistId=1458723,,,
조선힙합 살다보니 그렇더라,127,0,0,false,,"조선힙합_official이 발표한 곡 '살다보니...'를 가리키는 것으로 보이며, 힘들었던 순간도 결국 지나간다는 위로의 메시지를 담은 곡이다.",음원,medium,,,5005514,https://www.melon.com/artist/timeline.htm?artistId=5005514,39183618,https://www.melon.com/song/detail.htm?songId=39183618,
장한별 하늘아,126,2,0.0159,false,,"장한별은 한국의 가수로, '하늘아'는 그녀가 부른 곡 중 하나이며 방송 '전설의 사내'에서도 열창한 바 있다.",음원,high,,,,,,,"감성 발라드, TV 경연 무대, 오디션 서바이벌, 커버곡"
인생은서툰여행이래,125,0,0,true,인생은 서툰 여행이래,,,high,,,,,,,
파데코,124,1,0.0081,false,,"파데코는 검색 결과상 명확한 의미를 특정하기 어려우며, 동명의 소규모 기업이나 음악 프로듀서 PATEKO 등과 관련될 가능성이 있으나 확실하지 않다.",기타,low,,,,,,,"인디 프로듀서, 일렉트로닉 프로듀서, 미확인 아티스트, 소규모 브랜드"
dasies,124,1,0.0081,true,Daisies,,,medium,,,,,,,
nothingz,124,2,0.0161,false,,"해외에 'NoThingz', 'The Nothingz' 등 이름이 유사한 소규모 인디 아티스트/밴드가 존재하나 특정 인물로 명확히 특정하기 어렵고, 국내(멜론)에는 잘 알려지지 않은 것으로 보인다.",아티스트,low,,,,,,,"해외 인디 밴드, 인디 록, 소규모 아티스트, 해외 아티스트 검색"
agust,124,6,0.0484,true,Agust D,,,high,,,,,,,
sueyalike,118,0,0,false,,"sueyalike는 Spotify, Apple Music 등 해외 스트리밍 플랫폼에 'Petals in motion', 'Blooming momentum' 등 다수의 로파이/인디 성향 앨범을 발매한 아티스트이다.",아티스트,medium,,,,,121199591,https://www.melon.com/song/detail.htm?songId=121199591,
oh well,118,3,0.0254,false,,"'Oh Well'은 Fleetwood Mac(1969), Boyz II Men 등 여러 아티스트가 각각 발표한 동명의 곡 제목으로, 특정 원곡을 찾으려는 검색으로 추정된다.",음원,medium,검색어 'oh well' → 원어명 'Oh Well' 로 멜론 내 매칭 콘텐츠 확인됨 ('oh well') → 동의어/다국어 처리 제안,https://www.melon.com/song/detail.htm?songId=602684125,,,,,
i kept the light on,118,5,0.0424,false,,"'I Kept The Light On'은 2026년 발매된 Mikhail Bennett, Don Kai 등의 해외 곡 제목으로, 국내 플랫폼에 검색 결과가 잘 매칭되지 않는 인디 음원으로 보인다.",음원,medium,,,,,,,"해외 인디 팝, 감성 발라드, 2026 신곡, 로파이 팝"
ヤラララ,117,0,0,false,,"한국인 보컬로이드 프로듀서 AnythingBecomeMoe가 2026년 5월 발표한 곡으로, 카사네 테토(重音テト)가 보컬을 맡았으며 유튜브에서 천만 조회수를 돌파해 화제가 된 노래이다.",음원,high,,,3479375,https://www.melon.com/artist/timeline.htm?artistId=3479375,,,
성리 뜬소문,117,0,0,false,,가수 성리가 MBN '전설의 사내(무명전설)'에서 부른 방미의 곡 '뜬소문' 커버 무대를 가리키는 검색어이다.,음원,medium,,,958921,https://www.melon.com/artist/timeline.htm?artistId=958921,5694480,https://www.melon.com/song/detail.htm?songId=5694480,
uyoung wave,117,0,0,false,,"UYoung Wave(유영웨이브)는 Spotify, Apple Music, YouTube 등에서 활동하는 감성적인 플레이리스트형 아티스트/채널로 여러 앨범을 발매했다.",아티스트,high,,,,,,,"감성 플레이리스트, 무드 뮤직, 잔잔한 인디, 유튜브 채널형 아티스트"
don`t tell your dream,116,2,0.0172,true,"Don't Tell Your Dreams (LOVIXX, STOSLIV)",,,medium,,,,,,,
